LocationID,OBJECTID,UniversalReefID
1059279,4314,35
1257216,4315,39
1257218,4324,32
1059263,4329,34
939532,,18
1257232,,41
1059278,4345,15
1059269,4348,31
1059267,4350,9
1059268,4350,9
1059274,4351,5
1059275,4351,5
1059261,4352,36
1059262,4352,36
1059276,4355,16
1059277,4355,16
1059284,4356,62
1059285,4356,62
1059286,4357,7
1059280,4358,8
1059281,4358,8
1257214,4359,37
1059282,4360,59
1059283,4360,59
1059270,4361,6
1059271,4361,6
1059272,4361,6
1059273,4361,6
1059264,4362,65
1059265,4362,65
1059266,4362,65
1059291,4362,65
864680,,5600
864855,,5600
945759,1814,5600
864854,1815,5615
945758,1815,5615
864852,1816,5614
864853,1816,5614
945756,1816,5614
945757,1816,5614
864856,,5619
945760,1817,5619
864866,1818,5616
945770,,5616
864851,1819,5613
945755,1819,5613
864863,1820,5617
864864,1820,5617
864865,1820,5617
945767,1820,5617
945768,1820,5617
945769,1820,5617
864850,1821,5612
945754,1821,5612
864857,,5620
945761,1822,5620
864858,,5621
945762,1823,5621
864832,1824,5596
945736,1824,5596
864862,1825,5618
945766,1825,5618
864580,1826,5595
864829,1826,5595
864830,1826,5595
864831,1826,5595
945733,1826,5595
945734,1826,5595
945735,1826,5595
864827,1827,5594
864828,1827,5594
945731,1827,5594
945732,1827,5594
864861,1828,5623
945765,1828,5623
864824,1829,5593
864825,1829,5593
864826,1829,5593
945728,1829,5593
945729,1829,5593
945730,1829,5593
864823,1830,5592
945727,1830,5592
864820,1831,5591
864821,1831,5591
864822,1831,5591
945724,1831,5591
945725,1831,5591
945726,1831,5591
864591,1832,5590
864817,1832,5590
864818,1832,5590
864819,1832,5590
945721,1832,5590
945722,1832,5590
945723,1832,5590
864834,1833,5598
945738,1833,5598
864611,1834,5597
864833,1834,5597
945737,1834,5597
864839,1835,5602
945743,1835,5602
864838,1836,5601
945742,1836,5601
864582,1837,5624
864702,1837,5624
864596,1838,5630
864715,1838,5630
864615,1839,5642
864733,1839,5642
864614,1840,5641
864732,1840,5641
864610,1841,5639
864729,1841,5639
864663,1842,5664
864664,1842,5664
864779,1842,5664
864780,1842,5664
864674,1843,5670
864675,1843,5670
864676,1843,5670
864677,1843,5670
864790,1843,5670
864791,1843,5670
864792,1843,5670
864793,1843,5670
864678,1844,5671
864679,1844,5671
864794,1844,5671
864795,1844,5671
864681,1845,5672
864682,1845,5672
864796,1845,5672
864797,1845,5672
864683,1846,5673
864684,1846,5673
864798,1846,5673
864799,1846,5673
864685,1847,5674
864800,1847,5674
864694,1848,5678
864809,1848,5678
864688,1849,5676
864689,1849,5676
864690,1849,5676
864803,1849,5676
864804,1849,5676
864805,1849,5676
864575,1850,5668
864686,1850,5668
864687,1850,5668
864801,1850,5668
864802,1850,5668
864691,1851,5677
864692,1851,5677
864693,1851,5677
864806,1851,5677
864807,1851,5677
864808,1851,5677
864695,1852,5679
864810,1852,5679
864699,1853,5681
864813,1853,5681
864697,1854,5675
864812,1854,5675
864696,1855,5680
864811,1855,5680
864576,,5682
864577,1856,5682
864700,1856,5682
864701,1856,5682
864814,1856,5682
864815,1856,5682
864816,1856,5682
1303192,11745,15456
864488,11801,11583
1303190,11810,12081
918382,11811,11403
918383,11811,11403
918384,11811,11403
1303168,11811,11403
1303157,,11556
1303175,11814,11554
1303178,11820,11600
1303412,11836,11814
1303415,11836,11814
1303182,11856,11707
1303254,11904,15145
864480,,13744
1303310,11913,13742
1303198,11951,11998
1303217,11951,11998
1303196,11953,15119
1303315,,11901
864474,11970,11901
1303321,,11800
1303354,,14907
1303359,11991,14863
1303326,11993,14861
1303361,11995,14866
864467,12025,16166
864458,12144,10002
864554,12435,9525
1303430,12878,9411
1303242,12883,9407
1303245,12889,9421
1303246,12893,9424
1303241,12905,9398
864490,12979,9347
1303429,12983,9341
1303428,12996,9342
1303240,13002,9332
1303239,13029,9325
1303238,13040,9322
864550,,9450
1303250,13237,9593
1303249,13266,9499
1303248,13297,13521
1303247,13298,13520
918395,13336,9025
1045093,13336,9025
918393,,9038
918394,13337,9038
1303244,13337,9038
864493,,13536
1303235,,9033
1303236,13356,9032
1303237,,9032
1303243,13358,9030
918331,,9044
918391,13364,9044
918392,13364,9044
1303251,13364,9044
1303421,13551,10470
1303181,13570,10468
1303159,13798,10553
1303158,13874,10546
864485,14097,11064
864487,14157,10689
1303177,14255,11475
1303172,14281,11445
1303169,14287,11423
1303170,14295,11428
1303176,14322,11466
1303171,,11439
1303174,14340,15283
1303165,14342,11126
1303156,14344,10091
1303183,14345,11791
1303166,14354,11979
1303160,14355,10642
1303173,,10643
1303180,14372,11557
1303420,14374,11553
918330,14394,11982
918385,14394,11982
918386,14394,11982
1303188,14394,11982
1303427,14396,10701
1303426,14402,11665
1303425,14415,10086
1303191,14420,11377
1303424,14453,10718
1303186,14477,10757
1303419,14480,10726
1303161,14492,10844
1303184,14528,10730
1303162,14539,10733
1303187,14565,10781
1303185,14573,10740
1303163,14615,10777
1303154,14695,12065
1303233,14695,12065
1303418,14715,10811
1303232,14720,10794
1303409,14722,12066
1303416,14725,10834
864484,14749,12099
1303410,14818,11571
1303411,14860,11019
1303414,14867,11143
864489,14911,10104
1303413,14948,15525
1303381,15041,11107
1303387,,11257
1303383,15088,11284
1303152,15093,11283
1303155,,11286
1303164,15177,10957
1303386,15222,10888
1303153,15265,10961
1303167,15301,11227
1303382,15327,10635
1303385,15352,10910
1303189,15369,10912
1303380,15434,11721
1303293,,13714
1303405,15719,13711
1303302,15725,13713
1303404,,13713
1303294,15731,13715
1303295,15736,13716
1303296,15738,13717
1303397,15739,13718
1303279,,13719
1303298,15740,13719
1303402,15741,13721
1303299,,13722
1303311,15750,13702
1303285,15751,13701
1303281,15754,13700
1303291,15754,13700
864478,15755,13696
1303288,15755,13696
1303289,15756,13697
864481,15757,13726
864482,,13726
1303286,15757,13726
1303297,15757,13726
1303300,15757,13726
1303398,15757,13726
1303284,15763,13072
1303287,15766,13074
1303283,15770,13068
1303401,15771,13067
1303282,15772,13066
1303278,15774,13065
1303307,,13065
1303303,15784,13730
1303312,15784,13730
1303400,15785,13055
1303408,15786,13056
1303306,15787,13050
1303301,15789,13049
1303304,15790,13731
1303396,15790,13731
1303399,15794,13047
1303407,15795,13043
1303280,15797,13044
1303305,15801,13736
1303406,15805,13052
1303309,15823,13741
1303264,15958,15142
1303218,16265,11999
864477,,10972
1303206,16267,10973
1303215,16268,10974
1303350,16292,11898
1303322,16308,14950
1303325,16308,14950
1303329,16312,14951
1303349,16312,14951
864470,16313,11909
1303320,,11909
1303328,16322,12019
1303223,16330,12010
1303352,16365,11929
864473,16431,12031
1303358,16467,10576
1303317,16474,10575
1303318,16478,10571
864472,16484,10579
864471,16491,14860
1303319,16494,10586
1303362,16523,11742
1303363,,14837
1303368,16594,11691
1303369,16610,14780
1303371,16611,11683
864463,,14116
864466,18560,15996
864464,18853,8391
864459,22213,13002
864457,,9654
864849,67,5585
945753,67,5585
864848,68,5584
945752,68,5584
864847,69,5587
945751,69,5587
864859,70,5586
864860,70,5586
945763,70,5586
945764,70,5586
864659,,5588
864846,71,5588
945750,71,5588
864844,72,5541
864845,72,5541
945748,72,5541
945749,72,5541
864835,73,5543
864836,73,5543
945739,73,5543
945740,73,5543
864837,74,5542
945741,74,5542
864840,75,5544
864841,75,5544
945744,75,5544
945745,75,5544
864843,,5544
945747,,5544
864842,,5545
945746,,5545
864593,77,5546
864594,77,5546
864712,77,5546
864713,77,5546
864592,,5546
864711,,5546
864595,78,5549
864714,78,5549
864583,,5547
864703,,5547
864584,80,5550
864585,80,5550
864704,80,5550
864705,80,5550
864586,82,5551
864587,82,5551
864588,82,5551
864589,82,5551
864590,82,5551
864706,82,5551
864707,82,5551
864708,82,5551
864709,82,5551
864710,82,5551
864597,84,5552
864598,84,5552
864599,84,5552
864600,84,5552
864601,84,5552
864602,84,5552
864603,84,5552
864716,84,5552
864717,84,5552
864718,84,5552
864719,84,5552
864720,84,5552
864721,84,5552
864722,84,5552
864604,,5579
864605,,5579
864606,,5579
864723,,5579
864724,,5579
864725,,5579
864607,,5579
864726,,5579
864622,90,5553
864624,90,5553
864625,90,5553
864740,90,5553
864742,90,5553
864743,90,5553
864623,,5553
864741,,5553
864608,92,5566
864609,92,5566
864727,92,5566
864728,92,5566
864616,93,5548
864617,93,5548
864620,,5548
864621,93,5548
864630,93,5548
864631,93,5548
864632,93,5548
864734,93,5548
864735,93,5548
864738,,5548
864739,93,5548
864748,93,5548
864749,93,5548
864750,93,5548
864618,95,5577
864619,,5577
864626,95,5577
864627,95,5577
864628,95,5577
864629,95,5577
864736,95,5577
864737,,5577
864744,95,5577
864745,95,5577
864746,95,5577
864747,95,5577
864633,96,5554
864751,96,5554
864612,97,5558
864613,,5558
864730,97,5558
864731,,5558
864579,98,5573
864634,98,5573
864635,,5573
864637,98,5573
864638,98,5573
864752,98,5573
864753,,5573
864754,98,5573
864755,98,5573
864648,100,5576
864649,100,5576
864650,100,5576
864651,100,5576
864765,100,5576
864766,100,5576
864767,100,5576
864768,100,5576
864645,101,5574
864646,101,5574
864647,101,5574
864762,101,5574
864763,101,5574
864764,101,5574
864652,,5570
864769,,5570
864578,103,5580
864639,103,5580
864640,103,5580
864641,103,5580
864642,103,5580
864643,103,5580
864644,103,5580
864756,103,5580
864757,103,5580
864758,103,5580
864759,103,5580
864760,103,5580
864761,103,5580
864653,,5572
864654,,5572
864770,,5572
864771,,5572
864658,106,5568
864775,106,5568
864657,,5568
864774,,5568
864655,,5575
864772,,5575
864656,108,5569
864773,108,5569
864660,110,5567
864661,110,5567
864776,110,5567
864777,110,5567
864666,112,5562
864667,112,5562
864782,112,5562
864783,112,5562
864665,,5562
864781,,5562
864662,,5563
864778,,5563
864669,114,5561
864670,114,5561
864671,114,5561
864673,114,5561
864785,114,5561
864786,114,5561
864787,114,5561
864789,114,5561
864668,,5561
864784,,5561
864672,,5561
864788,,5561
2206,,3824
2205,,3877
2198,,3934
864445,4620,20559
864446,4620,20559
864447,4620,20559
864448,4620,20559
864449,4620,20559
918344,4620,20559
918345,4620,20559
918346,4620,20559
919867,4620,20559
935521,4620,20559
935522,4620,20559
935525,4620,20559
935524,4621,20560
935523,4625,20564
864439,4654,20595
864440,4654,20595
864441,,20595
935518,4654,20595
864436,4655,20596
864437,,20596
864438,,20596
864442,4655,20596
864443,4655,20596
864444,4655,20596
935517,4655,20596
935519,,20596
935520,4655,20596
918343,4662,20603
919866,,20603
864397,4666,20607
864398,4666,20607
864399,4666,20607
935535,4666,20607
935538,4671,20612
935539,4672,20613
864433,,20623
864434,,20623
864435,,20623
935513,,20623
935515,4682,20624
935540,4682,20624
919876,4731,18189
935485,4731,18189
935486,4731,18189
935487,4731,18189
935441,4734,18332
935442,4734,18332
935495,4734,18332
935497,4734,18332
935498,4734,18332
935499,4734,18332
935500,4734,18332
935501,4734,18332
935502,4734,18332
935494,4734,18332
935443,4738,18293
935503,4739,18294
935504,4739,18294
935505,4739,18294
935506,4740,18295
935507,4740,18295
935553,4801,18200
1303079,4801,18200
864426,4938,20769
864427,4938,20769
935484,4938,20769
935490,4938,20769
864421,,20776
864422,4945,20776
935477,4945,20776
935478,,20776
864423,4952,20783
864424,4952,20783
935479,4952,20783
935480,4952,20783
935514,4971,20802
864412,4972,20803
864413,4972,20803
864414,4972,20803
935473,4972,20803
935516,4978,20809
919874,,20818
864425,4989,20820
935481,4989,20820
935482,4989,20820
935483,4989,20820
864415,4998,20829
864416,4998,20829
864417,5033,20864
935474,5033,20864
935475,5033,20864
935527,5033,20864
918381,5045,20876
935467,5055,20887
935464,5060,20892
864403,5062,20894
864404,5062,20894
864405,5062,20894
935462,5062,20894
935463,5062,20894
935528,5062,20894
935465,,20905
935466,5073,20905
919861,5080,20912
935461,5080,20912
935529,5080,20912
919863,5081,20913
864406,5091,20923
864407,5091,20923
864408,5091,20923
918379,5091,20923
918380,5091,20923
919857,5091,20923
935530,5091,20923
918377,5092,20924
918378,5092,20924
919856,5092,20924
935531,5092,20924
919862,,20943
935469,,20943
935532,5127,20959
864409,5135,20967
864410,5135,20967
864411,5135,20967
935471,5135,20967
935472,5137,20969
864393,5179,21011
935446,5179,21011
935447,5179,21011
935448,5179,21011
864392,5183,21015
935444,5183,21015
935445,5183,21015
935541,5183,21015
935542,5197,21029
919869,5200,21032
935458,5200,21032
935459,5200,21032
935543,5200,21032
935457,5202,21034
935544,5204,21036
919871,5210,21042
918342,5229,21061
919865,5229,21061
935449,5229,21061
935453,,21065
919868,5234,21066
935452,5242,21074
935711,5242,21074
918341,5246,21078
919864,5246,21078
935450,5246,21078
935451,5246,21078
935709,5246,21078
935710,5246,21078
1045091,5246,21078
864394,5249,21081
864395,5249,21081
864396,5249,21081
935545,5249,21081
864428,5306,18223
864429,5306,18223
864430,5306,18223
935547,5306,18223
935548,5306,18223
935491,5311,21143
935492,5311,21143
935493,5311,21143
935549,5311,21143
935496,5317,21149
935554,5381,18273
1303078,5392,18284
796,3496,5470
800,3504,5478
918332,3504,5478
918359,3504,5478
918360,3508,5482
1045092,,5482
794,3510,5490
801,3512,5494
799,,5495
797,3519,5503
798,3521,5505
918372,6362,18598
923411,3588,33756
923410,3589,33757
1045562,27263,21716
1045561,27413,21865
1045560,,21984
349625,3678,3036
349626,3681,3039
1257260,5849,3
1257273,5849,3
923408,754,27936
923409,754,27936
918364,,29772
918365,,29772
918366,,29772
918362,1397,3935
918363,1397,3935
918361,1397,3935
2207,1406,3878
923412,1532,28306
923415,1559,28326
931974,28179,22784
931938,28188,22790
931937,28189,22791
931935,28192,22794
931968,28196,22797
931969,28199,22800
931960,28217,22815
931959,28218,22816
931958,28220,22818
931954,28221,22819
931963,28366,26356
919887,28535,23080
919885,28591,23127
919886,28617,23152
919889,28646,23179
919884,28651,23184
919883,,23218
919890,28706,23227
101979,3700,19997
1303072,3709,3074
918357,3725,3095
918355,3725,3095
918356,3725,3095
101978,3748,3130
1045563,3748,3130
1303071,3761,3119
101977,3775,3176
101976,,3165
101975,3785,3160
918358,3790,3188
945676,3790,3188
101973,3801,3190
101972,3818,3192
1303070,3823,3252
101971,3835,3233
101970,3835,3233
101968,3864,3258
101969,3872,3268
101967,3903,20205
101966,3964,3289
101965,3966,3290
101964,3968,3291
101962,3970,3295
101961,3971,20270
101963,3972,3294
101960,3973,3296
101959,3979,3785
101952,3987,3463
945677,3987,3463
945678,3987,3463
101950,3988,3323
101945,3989,20288
918335,3989,20288
918336,3989,20288
918337,3989,20288
101942,3990,3466
101958,4083,3457
101956,4088,3613
101957,4090,3615
918390,4090,3615
101955,4091,3616
918387,4091,3616
918388,4091,3616
918389,4091,3616
101954,4093,3462
101953,4094,3461
101951,,3317
101949,4123,3324
101948,4130,3326
1303068,,3327
101947,4138,3330
918333,4138,3330
918334,4138,3330
101944,4161,3349
101946,4162,3336
918338,4162,3336
918339,4162,3336
918340,4162,3336
1303067,4162,3336
101943,4183,3357
1303066,4217,20517
1303069,,20536
918374,6374,18613
918375,6374,18613
918376,6374,18613
918373,6362,18599
918370,30996,19565
918371,30996,19565
918368,30999,19566
918369,30999,19566
931962,31029,34792
1303341,,5198
1303205,31496,5212
1303335,31508,5169
1303195,,5394
1303212,,5399
1303332,,5405
1303193,31720,3973
918350,31727,3983
918351,31727,3983
918352,31727,3983
1303202,31727,3983
1303207,31734,3990
1303230,31759,4025
1303204,31783,4055
1303213,31785,4058
1303194,31815,4094
1303197,31819,4100
918347,31952,4248
918348,31952,4248
918349,31952,4248
1303199,31952,4248
1303336,31952,4248
1303201,31953,4249
1303224,32002,4307
918329,32005,4310
918353,32005,4310
918354,32005,4310
1303214,32005,4310
1303226,32042,4358
1303211,32190,4540
1303333,32207,4559
